brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",December 2015,Watches,3999.0,849.0,78.76969242310578,False,5.0,5.0
,Steppings Trendy Boots,December 2015,Footwear,1799.0,719.0,60.033351862145636,False,,
,Rochees RW38 Analog Watch  - For Boys,December 2015,Watches,1415.0,1202.0,15.053003533568903,False,,
,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",December 2015,Watches,1099.0,399.0,63.69426751592356,False,5.0,5.0
,Catwalk Boots,December 2015,Footwear,2095.0,999.0,52.31503579952267,False,,
,Magnum Footwear Lifestyle,December 2015,Footwear,3999.0,2099.0,47.511877969492375,False,,
,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,December 2015,Watches,999.0,399.0,60.06006006006006,False,,
,Rialto Boots,December 2015,Footwear,3295.0,2795.0,15.174506828528072,False,,
,Kielz Ladies Boots,December 2015,Footwear,2499.0,1249.0,50.020008003201276,False,,
,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",December 2015,Watches,5495.0,4995.0,9.099181073703367,False,,
,La Briza Ashley Boots,December 2015,Footwear,2299.0,2299.0,0.0,False,,
,Salt N Pepper 13-019 Femme Black Boots Boots,December 2015,Footwear,4195.0,3146.0,25.005959475566154,False,,
,Shuz Touch Boots,December 2015,Footwear,1499.0,1270.0,15.276851234156105,False,,
Skanders,Wrangler Skanders Fit Men's Jeans,December 2015,Clothing,2795.0,1817.0,34.991055456171736,False,,
,Steppings Trendy Boots,December 2015,Footwear,3199.0,1919.0,40.012503907471086,False,,
,Salt N Pepper 14-664 Denny Black Boots Boots,December 2015,Footwear,4295.0,3221.0,25.0058207217695,False,,
,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",December 2015,Watches,1199.0,429.0,64.22018348623854,False,,
,Crocs Boots,December 2015,Footwear,3995.0,3995.0,0.0,False,,
